Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_geographiques;Departement
77516;VILLE ST JACQUES;77130;;VILLE ST JACQUES;48.344351413, 2.897954226;77
78208;ELANCOURT;78990;;ELANCOURT;48.778351142, 1.960991753;78
78267;GARGENVILLE;78440;;GARGENVILLE;48.992543549, 1.811015286;78
78396;LE MESNIL LE ROI;78600;;LE MESNIL LE ROI;48.926810989, 2.122439577;78
78464;ORCEMONT;78125;;ORCEMONT;48.597169134, 1.809613878;78
78520;RICHEBOURG;78550;;RICHEBOURG;48.824791364, 1.634738858;78
91204;ECHARCON;91540;;ECHARCON;48.574762652, 2.400754534;91
91546;ST CYR SOUS DOURDAN;91410;;ST CYR SOUS DOURDAN;48.565851545, 2.036948095;91
91552;ST GERMAIN LES ARPAJON;91180;;ST GERMAIN LES ARPAJON;48.598644131, 2.264485381;91
93047;MONTFERMEIL;93370;;MONTFERMEIL;48.898040819, 2.566549678;93
94046;MAISONS ALFORT;94700;;MAISONS ALFORT;48.806206275, 2.438053127;94
95023;ARRONVILLE;95810;;ARRONVILLE;49.174593818, 2.11346183;95
95046;BANTHELU;95420;;BANTHELU;49.125991196, 1.815132958;95
95369;MARGENCY;95580;;MARGENCY;49.001520665, 2.289265625;95
95563;ST LEU LA FORET;95320;;ST LEU LA FORET;49.020043434, 2.247039527;95
95610;THEMERICOURT;95450;;THEMERICOURT;49.090930332, 1.905016374;95
75102;PARIS 02;75002;;PARIS;48.868266543, 2.342785169;75
77053;BRIE COMTE ROBERT;77170;;BRIE COMTE ROBERT;48.691708224, 2.614662477;77
77100;LE CHATELET EN BRIE;77820;;LE CHATELET EN BRIE;48.501577831, 2.802652063;77
77150;CUISY;77165;;CUISY;49.020201919, 2.778038433;77
77217;GRISY SUISNES;77166;;GRISY SUISNES;48.684832308, 2.676033206;77
77278;MAROLLES EN BRIE;77120;;MAROLLES EN BRIE;48.774277265, 3.161217492;77
77290;MERY SUR MARNE;77730;;MERY SUR MARNE;48.975008124, 3.202668664;77
77295;MOISENAY;77950;;MOISENAY;48.564241638, 2.740439494;77
77337;NOISIEL;77186;;NOISIEL;48.846039914, 2.619385442;77
77364;LE PLESSIS AUX BOIS;77165;;LE PLESSIS AUX BOIS;49.004306369, 2.767183498;77
77468;TORCY;77200;;TORCY;48.853881807, 2.650700739;77
77514;VILLEPARISIS;77270;;VILLEPARISIS;48.941845067, 2.617085746;77
78020;ARNOUVILLE LES MANTES;78790;;ARNOUVILLE LES MANTES;48.91097494, 1.720241832;78
78057;BENNECOURT;78270;;BENNECOURT;49.047859126, 1.571817385;78
78305;HERBEVILLE;78580;;HERBEVILLE;48.902860146, 1.890345904;78
78321;JOUARS PONTCHARTRAIN;78760;;JOUARS PONTCHARTRAIN;48.790621752, 1.90791762;78
78366;MAREIL LE GUYON;78490;;MAREIL LE GUYON;48.790497873, 1.851508679;78
78615;THIVERVAL GRIGNON;78850;;THIVERVAL GRIGNON;48.844080486, 1.932721134;78
91273;GIRONVILLE SUR ESSONNE;91720;;GIRONVILLE SUR ESSONNE;48.367046384, 2.3464349;91
91312;IGNY;91430;GOMMONVILLIERS;IGNY;48.736509794, 2.224449897;91
91330;LARDY;91510;;LARDY;48.527215604, 2.270985877;91
93051;NOISY LE GRAND;93160;;NOISY LE GRAND;48.836247784, 2.564607121;93
93062;LE RAINCY;93340;;LE RAINCY;48.896772136, 2.519551978;93
95063;BEZONS;95870;;BEZONS;48.926070398, 2.21192311;95
95119;BUHY;95770;;BUHY;49.19220457, 1.70219704;95
