Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_geographiques;Departement
77054;LA BROSSE MONTCEAUX;77940;;LA BROSSE MONTCEAUX;48.33885179, 3.023374615;77
77094;CHARMENTRAY;77410;;CHARMENTRAY;48.951117672, 2.779143747;77
77137;COURTACON;77560;;COURTACON;48.702589194, 3.290580641;77
77236;JAULNES;77480;;JAULNES;48.414190402, 3.276168501;77
77247;LESCHEROLLES;77320;;LESCHEROLLES;48.760539178, 3.35068096;77
77250;LEUDON EN BRIE;77320;;LEUDON EN BRIE;48.730361665, 3.268096073;77
77261;LORREZ LE BOCAGE PREAUX;77710;PREAUX;LORREZ LE BOCAGE PREAUX;48.239519273, 2.896540766;77
77264;LUMIGNY NESLES ORMEAUX;77540;NESLES LA GILBERDE;LUMIGNY NESLES ORMEAUX;48.719641692, 2.953592052;77
77264;LUMIGNY NESLES ORMEAUX;77540;ORMEAUX;LUMIGNY NESLES ORMEAUX;48.719641692, 2.953592052;77
77266;MACHAULT;77133;;MACHAULT;48.445896814, 2.841311915;77
77272;MAISON ROUGE;77370;;MAISON ROUGE;48.555063502, 3.15166217;77
77311;MONTIGNY LENCOUP;77520;;MONTIGNY LENCOUP;48.454262449, 3.052332218;77
77314;MONTOLIVET;77320;;MONTOLIVET;48.827744443, 3.431657484;77
77331;NANTEUIL SUR MARNE;77730;;NANTEUIL SUR MARNE;48.980360964, 3.221343216;77
77380;PUISIEUX;77139;;PUISIEUX;49.06564504, 2.915592437;77
77495;VERT ST DENIS;77240;;VERT ST DENIS;48.571572774, 2.627006435;77
78076;BOISSETS;78910;;BOISSETS;48.85894274, 1.587895245;78
78236;FLEXANVILLE;78910;;FLEXANVILLE;48.85527391, 1.742829661;78
78246;FONTENAY ST PERE;78440;;FONTENAY ST PERE;49.028163506, 1.753968669;78
78283;GRANDCHAMP;78113;;GRANDCHAMP;48.719537984, 1.614314352;78
78478;PARAY DOUAVILLE;78660;;PARAY DOUAVILLE;48.459921438, 1.863328788;78
78528;ROLLEBOISE;78270;;ROLLEBOISE;49.019424603, 1.601700814;78
78545;ST CYR L ECOLE;78210;;ST CYR L ECOLE;48.806375444, 2.065524074;78
78590;SENLISSE;78720;;SENLISSE;48.685379012, 1.971805753;78
91156;CHEPTAINVILLE;91630;;CHEPTAINVILLE;48.546517694, 2.274133259;91
91180;COURANCES;91490;;COURANCES;48.438624957, 2.485448399;91
91494;LE PLESSIS PATE;91220;;LE PLESSIS PATE;48.607112373, 2.341259253;91
92014;BOURG LA REINE;92340;;BOURG LA REINE;48.780432581, 2.317059116;92
92071;SCEAUX;92330;;SCEAUX;48.776484949, 2.296467846;92
93007;LE BLANC MESNIL;93150;;LE BLANC MESNIL;48.939482289, 2.461086127;93
94077;VILLENEUVE LE ROI;94290;;VILLENEUVE LE ROI;48.732228497, 2.41098507;94
95154;CHENNEVIERES LES LOUVRES;95380;;CHENNEVIERES LES LOUVRES;49.042148988, 2.546572852;95
95170;CONDECOURT;95450;;CONDECOURT;49.037845152, 1.937251595;95
95282;GOUZANGREZ;95450;;GOUZANGREZ;49.1136525, 1.909229318;95
95488;PIERRELAYE;95480;;PIERRELAYE;49.019103435, 2.160347072;95
95680;VILLIERS LE BEL;95400;;VILLIERS LE BEL;49.007988385, 2.403736201;95
77007;ARGENTIERES;77390;;ARGENTIERES;48.652020763, 2.870851784;77
77018;BAILLY ROMAINVILLIERS;77700;;BAILLY ROMAINVILLIERS;48.843284, 2.816534553;77
77031;BERNAY VILBERT;77540;VILBERT;BERNAY VILBERT;48.675542988, 2.928447369;77
77271;MAISONCELLES EN GATINAIS;77570;;MAISONCELLES EN GATINAIS;48.182670594, 2.620652609;77
77279;MAROLLES SUR SEINE;77130;;MAROLLES SUR SEINE;48.384109552, 3.032327557;77
77402;ST BARTHELEMY;77320;;ST BARTHELEMY;48.820490532, 3.364515659;77
77408;ST FIACRE;77470;;ST FIACRE;48.924538997, 2.953677994;77
77412;ST GERMAIN SUR ECOLE;77930;;ST GERMAIN SUR ECOLE;48.473617636, 2.510080509;77
77452;SIGY;77520;;SIGY;48.473297065, 3.163980713;77
77457;SOLERS;77111;;SOLERS;48.659188075, 2.725984418;77
77472;LA TRETOIRE;77510;;LA TRETOIRE;48.878586778, 3.247559944;77
77530;VOULTON;77560;;VOULTON;48.611589, 3.340601043;77
78278;GOUPILLIERES;78770;;GOUPILLIERES;48.880686478, 1.767114589;78
78291;GUERVILLE;78930;;GUERVILLE;48.95230274, 1.740590862;78
78297;GUYANCOURT;78280;BOUVIERS;GUYANCOURT;48.773058155, 2.075795692;78
78364;MARCQ;78770;;MARCQ;48.863962507, 1.823800522;78
78498;POISSY;78300;;POISSY;48.923459545, 2.02742189;78
78517;RAMBOUILLET;78120;;RAMBOUILLET;48.65354393, 1.82640777;78
91534;SACLAY;91400;LE VAL D ALBIAN;SACLAY;48.735923981, 2.166033197;91
91613;CONGERVILLE THIONVILLE;91740;CONGERVILLE;CONGERVILLE THIONVILLE;48.382499029, 1.99087837;91
92036;GENNEVILLIERS;92230;;GENNEVILLIERS;48.934550447, 2.2939472;92
95462;OMERVILLE;95420;;OMERVILLE;49.142855048, 1.722230338;95
77003;AMPONVILLE;77760;;AMPONVILLE;48.287862114, 2.530549292;77
77072;CHALAUTRE LA GRANDE;77171;;CHALAUTRE LA GRANDE;48.549893215, 3.446841357;77
77113;CHEVRU;77320;;CHEVRU;48.734121005, 3.196060775;77
77127;COUBERT;77170;;COUBERT;48.678477753, 2.707595426;77
77174;EVERLY;77157;;EVERLY;48.460480426, 3.263007142;77
77175;EVRY GREGY SUR YERRE;77166;GREGY SUR YERRE;EVRY GREGY SUR YERRE;48.653675957, 2.639539278;77
77211;GRANDPUITS BAILLY CARROIS;77720;;GRANDPUITS BAILLY CARROIS;48.582092956, 2.976328303;77
77321;MOUSSEAUX LES BRAY;77480;;MOUSSEAUX LES BRAY;48.396351016, 3.229956177;77
77372;POMPONNE;77400;;POMPONNE;48.886880992, 2.674750482;77
77376;PRECY SUR MARNE;77410;;PRECY SUR MARNE;48.932180284, 2.768173877;77
77390;ROISSY EN BRIE;77680;;ROISSY EN BRIE;48.789779958, 2.660952483;77
77425;ST MARTIN EN BIERE;77630;;ST MARTIN EN BIERE;48.433994492, 2.57543442;77
77527;VOINSLES;77540;;VOINSLES;48.68180642, 3.017960012;77
78053;BEHOUST;78910;;BEHOUST;48.832260315, 1.724583079;78
78062;BEYNES;78650;;BEYNES;48.854527247, 1.869760642;78
78107;BREVAL;78980;;BREVAL;48.955162869, 1.541122957;78
78120;BULLION;78830;;BULLION;48.624093422, 1.983225737;78
78188;CRAVENT;78270;;CRAVENT;48.989120607, 1.484610301;78
78261;GAILLON SUR MONTCIENT;78250;;GAILLON SUR MONTCIENT;49.029737165, 1.897767389;78
78327;JUZIERS;78820;;JUZIERS;49.000363581, 1.840689609;78
78531;ROSNY SUR SEINE;78710;;ROSNY SUR SEINE;48.996436395, 1.607663539;78
78609;TESSANCOURT SUR AUBETTE;78250;;TESSANCOURT SUR AUBETTE;49.025412767, 1.918796726;78
78650;LE VESINET;78110;;LE VESINET;48.893565927, 2.130150516;78
91064;BIEVRES;91570;;BIEVRES;48.75659431, 2.206465776;91
91201;DRAVEIL;91210;MAINVILLE;DRAVEIL;48.677735132, 2.421499681;91
91526;ROINVILLIERS;91150;;ROINVILLIERS;48.345169683, 2.237202381;91
92023;CLAMART;92140;LE PETIT CLAMART;CLAMART;48.796455388, 2.254300971;92
93005;AULNAY SOUS BOIS;93600;;AULNAY SOUS BOIS;48.945834186, 2.493478267;93
95008;AINCOURT;95510;;AINCOURT;49.072575712, 1.77372219;95
95110;BRIGNANCOURT;95640;;BRIGNANCOURT;49.139415197, 1.943823707;95
95371;MARLY LA VILLE;95670;;MARLY LA VILLE;49.08087171, 2.509126915;95
95459;NUCOURT;95420;;NUCOURT;49.15943446, 1.855587915;95
95580;ST WITZ;95470;;ST WITZ;49.085569333, 2.5525088;95
77161;DORMELLES;77130;;DORMELLES;48.313439207, 2.8895665;77
77202;LA GENEVRAYE;77690;;LA GENEVRAYE;48.314724874, 2.752441764;77
77237;JOSSIGNY;77600;;JOSSIGNY;48.830783927, 2.763018016;77
77263;LUISETAINES;77520;;LUISETAINES;48.46085786, 3.186107993;77
77340;NONVILLE;77140;;NONVILLE;48.28894673, 2.773912563;77
77508;VILLENEUVE LE COMTE;77174;;VILLENEUVE LE COMTE;48.811289829, 2.83781624;77
77531;VOULX;77940;;VOULX;48.284680383, 2.969595742;77
78220;LES ESSARTS LE ROI;78690;;LES ESSARTS LE ROI;48.716251319, 1.895378187;78
78372;MARLY LE ROI;78160;MONTVAL;MARLY LE ROI;48.865003641, 2.091451233;78
78484;PERDREAUVILLE;78200;;PERDREAUVILLE;48.970642741, 1.613546909;78
78647;VERT;78930;;VERT;48.940503804, 1.68295654;78
91240;FONTAINE LA RIVIERE;91690;;FONTAINE LA RIVIERE;48.360349195, 2.164569207;91
91284;LES GRANGES LE ROI;91410;;LES GRANGES LE ROI;48.497806347, 2.010809363;91
91326;JUVISY SUR ORGE;91260;;JUVISY SUR ORGE;48.691854518, 2.37366453;91
91411;LES MOLIERES;91470;;LES MOLIERES;48.671446529, 2.072415063;91
91432;MORANGIS;91420;;MORANGIS;48.702823561, 2.337357273;91
92025;COLOMBES;92700;;COLOMBES;48.922750857, 2.247051842;92
92063;RUEIL MALMAISON;92500;;RUEIL MALMAISON;48.869374523, 2.17771477;92
94015;BRY SUR MARNE;94360;;BRY SUR MARNE;48.838653513, 2.523439257;94
95456;NOISY SUR OISE;95270;;NOISY SUR OISE;49.134440803, 2.328104581;95
77153;DAMMARTIN EN GOELE;77230;;DAMMARTIN EN GOELE;49.054129741, 2.679492254;77
77173;ETREPILLY;77139;;ETREPILLY;49.042806503, 2.930355106;77
77200;GARENTREVILLE;77890;;GARENTREVILLE;48.23449375, 2.559650109;77
77223;GURCY LE CHATEL;77520;CHALAUTRE LA REPOSTE;GURCY LE CHATEL;48.484161716, 3.081063633;77
77240;JOUY SUR MORIN;77320;;JOUY SUR MORIN;48.795370044, 3.272747305;77
77381;QUIERS;77720;;QUIERS;48.614127609, 2.961158017;77
77383;RAMPILLON;77370;;RAMPILLON;48.540826838, 3.073142083;77
77453;SIVRY COURTRY;77115;;SIVRY COURTRY;48.531021543, 2.756131534;77
77485;LE VAUDOUE;77123;;LE VAUDOUE;48.347141662, 2.521715019;77
78171;CONDE SUR VESGRE;78113;;CONDE SUR VESGRE;48.732533249, 1.673399111;78
78368;MAREIL SUR MAULDRE;78124;;MAREIL SUR MAULDRE;48.889124252, 1.874811348;78
91198;D HUISON LONGUEVILLE;91590;;D HUISON LONGUEVILLE;48.455962627, 2.326990265;91
95288;GROSLAY;95410;;GROSLAY;48.985398076, 2.350437036;95
95298;HARAVILLIERS;95640;;HARAVILLIERS;49.174968669, 2.036994982;95
95352;LUZARCHES;95270;;LUZARCHES;49.115413934, 2.440757943;95
95500;PONTOISE;95300;;PONTOISE;49.051577748, 2.094574042;95
75110;PARIS 10;75010;;PARIS;48.876129334, 2.360715102;75
77041;BOISSY AUX CAILLES;77760;;BOISSY AUX CAILLES;48.312345301, 2.492713649;77
77062;CARNETIN;77400;;CARNETIN;48.904294375, 2.699501275;77
77121;COLLEGIEN;77090;;COLLEGIEN;48.827880888, 2.677106877;77
77148;CROUY SUR OURCQ;77840;;CROUY SUR OURCQ;49.086796122, 3.079651536;77
77317;MORMANT;77720;;MORMANT;48.597576815, 2.882687132;77
77392;ROUVRES;77230;;ROUVRES;49.06381725, 2.719556893;77
77410;ST GERMAIN LAXIS;77950;;ST GERMAIN LAXIS;48.58624891, 2.706026459;77
77420;ST MARD;77230;;ST MARD;49.038470494, 2.696654759;77
77445;SAVIGNY LE TEMPLE;77176;;SAVIGNY LE TEMPLE;48.584512665, 2.586244938;77
77494;VERNOU LA CELLE SUR SEINE;77670;LA CELLE SUR SEINE;VERNOU LA CELLE SUR SEINE;48.406307014, 2.853870747;77
78172;CONFLANS STE HONORINE;78700;;CONFLANS STE HONORINE;48.999997129, 2.098929195;78
78192;DAMMARTIN EN SERVE;78111;;DAMMARTIN EN SERVE;48.911051106, 1.618287214;78
78230;LA FALAISE;78410;;LA FALAISE;48.937096781, 1.825291098;78
78234;FLACOURT;78200;;FLACOURT;48.93212077, 1.642275072;78
78361;MANTES LA JOLIE;78200;;MANTES LA JOLIE;48.998365533, 1.69406992;78
78396;LE MESNIL LE ROI;78600;CARRIERES SOUS BOIS;LE MESNIL LE ROI;48.926810989, 2.122439577;78
78420;MONTFORT L AMAURY;78490;;MONTFORT L AMAURY;48.771781501, 1.808317154;78
78530;ROSAY;78790;;ROSAY;48.911025784, 1.683933521;78
78557;ST HILARION;78125;;ST HILARION;48.622770883, 1.728663745;78
78591;SEPTEUIL;78790;;SEPTEUIL;48.887912901, 1.684199373;78
91079;BOISSY LA RIVIERE;91690;;BOISSY LA RIVIERE;48.382166962, 2.169683144;91
91086;BONDOUFLE;91070;;BONDOUFLE;48.613996278, 2.379806094;91
91412;MONDEVILLE;91590;;MONDEVILLE;48.491488889, 2.420112209;91
91514;QUINCY SOUS SENART;91480;;QUINCY SOUS SENART;48.670541731, 2.528407513;91
91617;TIGERY;91250;;TIGERY;48.644113864, 2.519273008;91
92004;ASNIERES SUR SEINE;92600;;ASNIERES SUR SEINE;48.91591925, 2.287808861;92
92040;ISSY LES MOULINEAUX;92130;;ISSY LES MOULINEAUX;48.823147869, 2.264806255;92
95054;LE BELLAY EN VEXIN;95750;;LE BELLAY EN VEXIN;49.149673294, 1.877626763;95
95181;COURCELLES SUR VIOSNE;95650;;COURCELLES SUR VIOSNE;49.072582083, 1.996296034;95
75101;PARIS 01;75001;;PARIS;48.862549876, 2.336419316;75
77008;ARMENTIERES EN BRIE;77440;;ARMENTIERES EN BRIE;48.980878518, 3.016484077;77
77016;BAGNEAUX SUR LOING;77167;;BAGNEAUX SUR LOING;48.223975472, 2.707169842;77
77025;BAZOCHES LES BRAY;77118;;BAZOCHES LES BRAY;48.397966957, 3.192886258;77
77027;BEAUMONT DU GATINAIS;77890;;BEAUMONT DU GATINAIS;48.140602309, 2.492263922;77
77048;BOURRON MARLOTTE;77780;;BOURRON MARLOTTE;48.334943962, 2.700685669;77
77055;BROU SUR CHANTEREINE;77177;;BROU SUR CHANTEREINE;48.890767137, 2.639890249;77
77097;CHARTRONGES;77320;;CHARTRONGES;48.750903995, 3.263044772;77
77133;COURCELLES EN BASSEE;77126;;COURCELLES EN BASSEE;48.412940438, 3.053085201;77
77204;GERMIGNY SOUS COULOMBS;77840;;GERMIGNY SOUS COULOMBS;49.064093333, 3.161866638;77
77292;MESSY;77410;;MESSY;48.966951677, 2.701540475;77
77300;MONTCEAUX LES MEAUX;77470;;MONTCEAUX LES MEAUX;48.943376871, 2.994551566;77
77365;LE PLESSIS FEU AUSSOUX;77540;;LE PLESSIS FEU AUSSOUX;48.713407621, 3.038536649;77
77369;POINCY;77470;;POINCY;48.973052624, 2.924509346;77
77486;VAUDOY EN BRIE;77141;;VAUDOY EN BRIE;48.697553863, 3.082307353;77
78029;AUBERGENVILLE;78410;ELISABETHVILLE;AUBERGENVILLE;48.962720904, 1.849559735;78
78158;LE CHESNAY ROCQUENCOURT;78150;LE CHESNAY;LE CHESNAY ROCQUENCOURT;48.829192097, 2.119984317;78
78163;CIVRY LA FORET;78910;;CIVRY LA FORET;48.864394929, 1.617087787;78
78196;DAVRON;78810;;DAVRON;48.863716585, 1.947514342;78
78289;GROSROUVRE;78490;;GROSROUVRE;48.780365132, 1.756936149;78
78307;HERMERAY;78125;;HERMERAY;48.653744482, 1.688377269;78
78537;ST ARNOULT EN YVELINES;78730;;ST ARNOULT EN YVELINES;48.572717557, 1.934205467;78
78551;ST GERMAIN EN LAYE;78112;FOURQUEUX;ST GERMAIN EN LAYE;48.937287576, 2.096214868;78
78646;VERSAILLES;78000;;VERSAILLES;48.802292474, 2.117410101;78
91017;ANGERVILLIERS;91470;;ANGERVILLIERS;48.59080074, 2.058514271;91
91136;CHAMPLAN;91160;;CHAMPLAN;48.708041464, 2.278151045;91
91469;ORMOY LA RIVIERE;91150;;ORMOY LA RIVIERE;48.400724764, 2.163486233;91
91599;SOISY SUR ECOLE;91840;;SOISY SUR ECOLE;48.478908418, 2.481793376;91
92047;MARNES LA COQUETTE;92430;;MARNES LA COQUETTE;48.83076684, 2.166605457;92
94018;CHARENTON LE PONT;94220;;CHARENTON LE PONT;48.822572708, 2.406597157;94
94073;THIAIS;94320;;THIAIS;48.760790808, 2.385495992;94
95141;CHARMONT;95420;;CHARMONT;49.137757434, 1.790310096;95
95203;EAUBONNE;95600;;EAUBONNE;48.991067498, 2.277481312;95
95509;PUISEUX EN FRANCE;95380;;PUISEUX EN FRANCE;49.066868173, 2.488509672;95
95510;PUISEUX PONTOISE;95650;;PUISEUX PONTOISE;49.063645075, 2.016295404;95
95628;VALMONDOIS;95760;;VALMONDOIS;49.098061377, 2.18024882;95
95652;VIARMES;95270;;VIARMES;49.123452595, 2.378532448;95
77049;BOUTIGNY;77470;;BOUTIGNY;48.912806487, 2.929072628;77
77051;BRAY SUR SEINE;77480;;BRAY SUR SEINE;48.414017188, 3.242863551;77
77071;CHAINTREAUX;77460;;CHAINTREAUX;48.190775847, 2.814088179;77
77082;CHAMPEAUX;77720;;CHAMPEAUX;48.592178509, 2.810684943;77
77140;COUTENCON;77154;;COUTENCON;48.473277512, 2.996314579;77
77164;ECHOUBOULAINS;77830;;ECHOUBOULAINS;48.463138191, 2.930014288;77
77262;LOUAN VILLEGRUIS FONTAINE;77560;FONTAINE SOUS MONTAIGUILLON;LOUAN VILLEGRUIS FONTAINE;48.614524882, 3.48933483;77
77336;NEUFMOUTIERS EN BRIE;77610;;NEUFMOUTIERS EN BRIE;48.774023154, 2.825916483;77
77350;OZOIR LA FERRIERE;77330;;OZOIR LA FERRIERE;48.763940835, 2.680230189;77
77407;ST FARGEAU PONTHIERRY;77310;;ST FARGEAU PONTHIERRY;48.538911417, 2.524704829;77
77436;ST SIMEON;77169;;ST SIMEON;48.804623864, 3.194538794;77
77440;SAMMERON;77260;;SAMMERON;48.942112359, 3.076683143;77
77442;SAMOREAU;77210;;SAMOREAU;48.419818579, 2.769157835;77
77444;SANCY LES PROVINS;77320;;SANCY LES PROVINS;48.709852705, 3.393426506;77
78003;ABLIS;78660;;ABLIS;48.528463606, 1.850859166;78
78160;CHEVREUSE;78460;;CHEVREUSE;48.707100858, 2.037387133;78
78397;LE MESNIL ST DENIS;78320;;LE MESNIL ST DENIS;48.740751418, 1.965936845;78
91195;DANNEMOIS;91490;;DANNEMOIS;48.45974658, 2.465468838;91
91560;ST JEAN DE BEAUREGARD;91940;;ST JEAN DE BEAUREGARD;48.665836914, 2.172226269;91
91657;VIGNEUX SUR SEINE;91270;;VIGNEUX SUR SEINE;48.704173357, 2.427472385;91
92012;BOULOGNE BILLANCOURT;92100;;BOULOGNE BILLANCOURT;48.836400822, 2.239066161;92
92048;MEUDON;92190;;MEUDON;48.804093282, 2.227332801;92
92060;LE PLESSIS ROBINSON;92350;ROBINSON;LE PLESSIS ROBINSON;48.780251597, 2.25980883;92
92076;VAUCRESSON;92420;;VAUCRESSON;48.842089267, 2.16063419;92
93049;NEUILLY PLAISANCE;93360;;NEUILLY PLAISANCE;48.864367187, 2.509996689;93
94076;VILLEJUIF;94800;;VILLEJUIF;48.792392355, 2.35987795;94
95051;BEAUCHAMP;95250;;BEAUCHAMP;49.015006767, 2.191756994;95
95539;ST BRICE SOUS FORET;95350;;ST BRICE SOUS FORET;49.001942556, 2.349660792;95
77010;AUBEPIERRE OZOUER LE REPOS;77720;OZOUER LE REPOS;AUBEPIERRE OZOUER LE REPOS;48.619969635, 2.903442764;77
77014;AVON;77210;;AVON;48.413236599, 2.732936976;77
77026;BEAUCHERY ST MARTIN;77560;ST MARTIN CHENNETRON;BEAUCHERY ST MARTIN;48.602164551, 3.420786944;77
77045;BOUGLIGNY;77570;;BOUGLIGNY;48.199154099, 2.666643649;77
77058;BUSSY ST GEORGES;77600;;BUSSY ST GEORGES;48.830863087, 2.722990758;77
77089;LA CHAPELLE RABLAIS;77370;;LA CHAPELLE RABLAIS;48.506183066, 2.960293017;77
77095;CHARNY;77410;;CHARNY;48.969607617, 2.756065855;77
77182;LA FERTE GAUCHER;77320;;LA FERTE GAUCHER;48.787870552, 3.304171766;77
77192;FONTENAY TRESIGNY;77610;;FONTENAY TRESIGNY;48.698183822, 2.861671908;77
77206;GIREMOUTIERS;77120;;GIREMOUTIERS;48.852489445, 3.032477099;77
77228;HONDEVILLIERS;77510;;HONDEVILLIERS;48.903642049, 3.312416593;77
77264;LUMIGNY NESLES ORMEAUX;77540;;LUMIGNY NESLES ORMEAUX;48.719641692, 2.953592052;77
77434;ST SAUVEUR LES BRAY;77480;;ST SAUVEUR LES BRAY;48.437670564, 3.205175982;77
77451;SIGNY SIGNETS;77640;;SIGNY SIGNETS;48.9173914, 3.063858526;77
77480;VALENCE EN BRIE;77830;;VALENCE EN BRIE;48.446608135, 2.89264056;77
78005;ACHERES;78260;;ACHERES;48.967914935, 2.065775509;78
78015;ANDRESY;78570;;ANDRESY;48.981584282, 2.04971852;78
78029;AUBERGENVILLE;78410;;AUBERGENVILLE;48.962720904, 1.849559735;78
78036;AUTOUILLET;78770;;AUTOUILLET;48.844088345, 1.797003757;78
78297;GUYANCOURT;78280;;GUYANCOURT;48.773058155, 2.075795692;78
78569;STE MESME;78730;;STE MESME;48.535810688, 1.941191495;78
78576;ST REMY L HONORE;78690;;ST REMY L HONORE;48.748734828, 1.875834577;78
91106;BREUX JOUY;91650;;BREUX JOUY;48.554663889, 2.160714487;91
91121;BUNO BONNEVAUX;91720;;BUNO BONNEVAUX;48.357152004, 2.406864727;91
91458;NOZAY;91620;;NOZAY;48.660749931, 2.238250389;91
91671;VILLENEUVE SUR AUVERS;91580;;VILLENEUVE SUR AUVERS;48.466815446, 2.253780258;91
91685;VILLIERS SUR ORGE;91700;;VILLIERS SUR ORGE;48.659131592, 2.299304308;91
91692;LES ULIS;91940;;LES ULIS;48.681300434, 2.195008928;91
93048;MONTREUIL;93100;;MONTREUIL;48.86351321, 2.448636297;93
94060;LA QUEUE EN BRIE;94510;;LA QUEUE EN BRIE;48.777344015, 2.584471181;94
95323;JOUY LE MOUTIER;95280;VINCOURT;JOUY LE MOUTIER;49.010991384, 2.033483228;95
95476;OSNY;95520;;OSNY;49.067941998, 2.063102587;95
95480;PARMAIN;95620;;PARMAIN;49.122876265, 2.201090519;95
95489;PISCOP;95350;;PISCOP;49.016539208, 2.341408982;95
75111;PARIS 11;75011;;PARIS;48.859054908, 2.380025153;75
77019;BALLOY;77118;;BALLOY;48.397093788, 3.151318742;77
77022;BARBIZON;77630;;BARBIZON;48.448347603, 2.600809608;77
77059;BUSSY ST MARTIN;77600;;BUSSY ST MARTIN;48.846084524, 2.679076637;77
77112;CHEVRAINVILLIERS;77760;;CHEVRAINVILLIERS;48.245970358, 2.602208261;77
77183;LA FERTE SOUS JOUARRE;77260;;LA FERTE SOUS JOUARRE;48.953965948, 3.128431941;77
77186;FONTAINEBLEAU;77300;;FONTAINEBLEAU;48.406515646, 2.680925371;77
77197;FRETOY;77320;;FRETOY;48.706271271, 3.202290315;77
77208;GOUAIX;77114;;GOUAIX;48.476200115, 3.296410573;77
77224;HAUTEFEUILLE;77515;;HAUTEFEUILLE;48.766650145, 2.963093633;77
77230;ICHY;77890;;ICHY;48.206654178, 2.541348077;77
77234;JABLINES;77450;;JABLINES;48.914491697, 2.756994851;77
77284;MEAUX;77100;;MEAUX;48.956861307, 2.90006062;77
77289;MELZ SUR SEINE;77171;;MELZ SUR SEINE;48.504194211, 3.397091313;77
77372;POMPONNE;77400;LA POMPONNETTE;POMPONNE;48.886880992, 2.674750482;77
77389;LA ROCHETTE;77000;;LA ROCHETTE;48.506431874, 2.659248553;77
77413;ST GERMAIN SUR MORIN;77860;;ST GERMAIN SUR MORIN;48.875161835, 2.841219853;77
77504;VILLEMARECHAL;77710;;VILLEMARECHAL;48.272016653, 2.875857943;77
77517;VILLEVAUDE;77410;BORDEAUX;VILLEVAUDE;48.911990502, 2.661890564;77
77525;VINANTES;77230;;VINANTES;49.003563215, 2.739419053;77
78227;EVECQUEMONT;78740;;EVECQUEMONT;49.01719632, 1.94261171;78
78314;ISSOU;78440;;ISSOU;48.986824407, 1.789073513;78
78474;ORVILLIERS;78910;;ORVILLIERS;48.854655854, 1.642493279;78
78536;SAILLY;78440;;SAILLY;49.042953885, 1.793560905;78
92035;LA GARENNE COLOMBES;92250;;LA GARENNE COLOMBES;48.906873428, 2.245228942;92
92064;ST CLOUD;92210;;ST CLOUD;48.842563081, 2.208695657;92
94033;FONTENAY SOUS BOIS;94120;;FONTENAY SOUS BOIS;48.851226859, 2.474030123;94
95199;DOMONT;95330;;DOMONT;49.030025383, 2.323249469;95
95309;HODENT;95420;;HODENT;49.142472662, 1.762560638;95
95392;MERIEL;95630;;MERIEL;49.077094583, 2.213411713;95
95651;VETHEUIL;95510;;VETHEUIL;49.06207605, 1.707122338;95
77040;BOISSISE LE ROI;77310;;BOISSISE LE ROI;48.512849872, 2.569550754;77
77124;CONCHES SUR GONDOIRE;77600;;CONCHES SUR GONDOIRE;48.858405555, 2.718794405;77
77176;FAREMOUTIERS;77515;;FAREMOUTIERS;48.77920222, 2.999862647;77
77191;FONTENAILLES;77370;;FONTENAILLES;48.53244496, 2.926644656;77
77203;GERMIGNY L EVEQUE;77910;;GERMIGNY L EVEQUE;48.986158763, 2.957514174;77
77233;IVERNY;77165;;IVERNY;48.996680686, 2.790687296;77
77238;JOUARRE;77640;;JOUARRE;48.902516979, 3.112763253;77
77316;MORET LOING ET ORVANNE;77250;MONTARLOT;MORET LOING ET ORVANNE;48.354686543, 2.819738834;77
77330;NANTEUIL LES MEAUX;77100;;NANTEUIL LES MEAUX;48.928110279, 2.898553372;77
77367;LE PLESSIS PLACY;77440;;LE PLESSIS PLACY;49.053064419, 2.985036336;77
77447;SEINE PORT;77240;;SEINE PORT;48.551341945, 2.554134136;77
77507;VILLENAUXE LA PETITE;77480;;VILLENAUXE LA PETITE;48.400465031, 3.313259007;77
78062;BEYNES;78650;VAL DES QUATRE PIGNONS;BEYNES;48.854527247, 1.869760642;78
78165;LES CLAYES SOUS BOIS;78340;;LES CLAYES SOUS BOIS;48.818768304, 1.983713233;78
78389;MERE;78490;;MERE;48.795847516, 1.820602205;78
78486;LE PERRAY EN YVELINES;78610;;LE PERRAY EN YVELINES;48.696238177, 1.843382727;78
78621;TRAPPES;78190;;TRAPPES;48.775754847, 1.994019041;78
91179;LE COUDRAY MONTCEAUX;91830;LE PLESSIS CHENET;LE COUDRAY MONTCEAUX;48.558603857, 2.487529571;91
91339;LINAS;91310;;LINAS;48.626192771, 2.251820401;91
92033;GARCHES;92380;;GARCHES;48.84550185, 2.187473342;92
93064;ROSNY SOUS BOIS;93110;;ROSNY SOUS BOIS;48.87491844, 2.48590027;93
94059;LE PLESSIS TREVISE;94420;;LE PLESSIS TREVISE;48.805764129, 2.576362894;94
95040;AVERNES;95450;GADANCOURT;AVERNES;49.091441006, 1.866777119;95
95052;BEAUMONT SUR OISE;95260;;BEAUMONT SUR OISE;49.140404504, 2.30024802;95
95258;FROUVILLE;95690;;FROUVILLE;49.157831608, 2.146384873;95
95612;LE THILLAY;95500;;LE THILLAY;49.004213797, 2.469845422;95
75106;PARIS 06;75006;;PARIS;48.84912057, 2.332883793;75
75114;PARIS 14;75014;;PARIS;48.829262233, 2.326537267;75
